id_order;tanggal;jenis_barang;kategori;qty;jenis_penjualan; harga_jual ;diskon; harga_akhir ; hpp ;pendapatan;prov;negara;;tgl_jual;barang_jual;tgl_prod;barang_prod;;bulan;pend_total
Baker Street;01/06/22;Gasing Apple;Traditional;1;Manual; IDR99.000 ;20%; IDR79.200 ; IDR31.200 ; IDR48.000 ;JAWA BARAT;INDONESIA;;01/06/22;Gasing Apple;Mar-22;Folks;;;
Baker Street;01/06/22;Kamera Kayu;Camping;1;Manual; IDR279.000 ;20%; IDR223.200 ; IDR122.200 ; IDR101.000 ;JAWA BARAT;INDONESIA;;01/06/22;Kamera Kayu;Mar-22;Camping;;;
Twinkle44567Tinaemeliya;01/06/22;Twinkle Coaster;Home Living;1;Marketplace; IDR19.000 ;0%; IDR19.000 ; IDR9.800 ; IDR9.200 ;BANTEN;INDONESIA;;01/06/22;Twinkle Coaster;Mar-22;Village;;;
Twinkle44567yantieniezz;01/06/22;Wooden Broom Set Adult;Home Living;1;Marketplace; IDR449.000 ;0%; IDR449.000 ; IDR174.200 ; IDR274.800 ;JAWA BARAT;INDONESIA;;01/06/22;Wooden Broom Set Adult;Mar-22;Xmas;;;
Twinkle44567intanrinjani5;01/06/22;Wooden Broom Set Adult;Home Living;1;Marketplace; IDR449.000 ;0%; IDR449.000 ; IDR174.200 ; IDR274.800 ;BANTEN;INDONESIA;;01/06/22;Wooden Broom Set Adult;Mar-22;Sailing Boat;;;
Twinkle44567aninditanj;01/06/22;Wooden Hanger Type 2;Home Living;1;Marketplace; IDR99.000 ;0%; IDR99.000 ; IDR27.950 ; IDR71.050 ;JAWA TIMUR;INDONESIA;;01/06/22;Wooden Hanger Type 2;Mar-22;Chef Collection;;;
Twinkle44565Catherine;01/07/22;Colored Elephant;Animals;1; Manual; IDR119.000 ;0%; IDR119.000 ; IDR83.200 ; IDR35.800 ;DKI JAKARTA;INDONESIA;;01/07/22;Colored Elephant;Mar-22;Chef Collection;;;
Twinkle44565Catherine;01/07/22;Colored Giraffe;Animals;1; Manual; IDR119.000 ;0%; IDR119.000 ; IDR83.200 ; IDR35.800 ;DKI JAKARTA;INDONESIA;;01/07/22;Colored Giraffe;Apr-22;Chef Collection;;;
Twinkle44565Catherine;01/07/22;Colored Lion;Animals;1; Manual; IDR119.000 ;0%; IDR119.000 ; IDR83.200 ; IDR35.800 ;DKI JAKARTA;INDONESIA;;01/07/22;Colored Lion;Apr-22;Chef Collection;;;
Twinkle44569Siti Dwi;01/08/22;Aksara Fc ;Alphabet;1; Giveaway; IDR259.000 ;100%; IDR- ; IDR125.450 ; IDR(125.450);DKI JAKARTA;INDONESIA;;01/08/22;Aksara Fc ;Apr-22;Newborn;;;
Twinkle44569Aisyah R;01/08/22;Baltic Sea;Village;1; Giveaway; IDR249.000 ;100%; IDR- ; IDR124.800 ; IDR(124.800);DKI JAKARTA;INDONESIA;;01/08/22;Baltic Sea;Apr-22;Raya;;;
Twinkle44565Catherine;01/08/22;Colored Elephant;Animals;1; Manual; IDR119.000 ;0%; IDR119.000 ; IDR83.200 ; IDR35.800 ;DKI JAKARTA;INDONESIA;;01/08/22;Colored Elephant;Apr-22;Home Collection;;;
Twinkle44565Catherine;01/08/22;Colored Giraffe;Animals;1; Manual; IDR119.000 ;0%; IDR119.000 ; IDR83.200 ; IDR35.800 ;DKI JAKARTA;INDONESIA;;01/08/22;Colored Giraffe;Apr-22;Animals;;;
Twinkle44565Catherine;01/08/22;Colored Lion;Animals;1; Manual; IDR119.000 ;0%; IDR119.000 ; IDR83.200 ; IDR35.800 ;DKI JAKARTA;INDONESIA;;01/08/22;Colored Lion;Apr-22;Folks;;;
Twinkle44569Sembilan Matahari;01/08/22;Hampers Eve;Christmas;1; Manual; IDR229.000 ;0%; IDR229.000 ; IDR231.650 ; IDR(2.650);JAWA BARAT;INDONESIA;;01/08/22;Hampers Eve;Apr-22;Village;;;
Twinkle44569Sembilan Matahari;01/08/22;Hampers Twinkle;Christmas;1; Manual; IDR379.000 ;0%; IDR379.000 ; IDR350.150 ; IDR28.850 ;JAWA BARAT;INDONESIA;;01/08/22;Hampers Twinkle;Apr-22;Village;;;
Twinkle44569Siti Dwi;01/08/22;Kamera Kayu;Camping;1; Giveaway; IDR279.000 ;100%; IDR- ; IDR122.200 ; IDR(122.200);DKI JAKARTA;INDONESIA;;01/08/22;Kamera Kayu;Apr-22;Chef Collection;;;
Twinkle44569Aisyah R;01/08/22;Mini Tree A;Birthday;1; Giveaway; IDR79.000 ;100%; IDR- ; IDR24.700 ; IDR(24.700);DKI JAKARTA;INDONESIA;;01/08/22;Mini Tree A;Apr-22;Camping;;;
Twinkle44569Aisyah R;01/08/22;Senja Island;Village;1; Giveaway; IDR249.000 ;100%; IDR- ; IDR124.800 ; IDR(124.800);DKI JAKARTA;INDONESIA;;01/08/22;Senja Island;Apr-22;Camping;;;
Twinkle44569Dwi Purwani;01/08/22;Wooden Broom Set Adult;Home Living;1; Giveaway; IDR449.000 ;100%; IDR- ; IDR174.200 ; IDR(174.200);DKI JAKARTA;INDONESIA;;01/08/22;Wooden Broom Set Adult;Apr-22;Camping;;;
Twinkle44565Catherine;01/09/22;Colored Elephant;Animals;1; Manual; IDR119.000 ;0%; IDR119.000 ; IDR83.200 ; IDR35.800 ;DKI JAKARTA;INDONESIA;;01/09/22;Colored Elephant;Apr-22;Raya;;;
Twinkle44565Catherine;01/09/22;Colored Giraffe;Animals;1; Manual; IDR119.000 ;0%; IDR119.000 ; IDR83.200 ; IDR35.800 ;DKI JAKARTA;INDONESIA;;01/09/22;Colored Giraffe;Jun-22;Camping;;;
Twinkle44565Catherine;01/09/22;Colored Lion;Animals;1; Manual; IDR119.000 ;0%; IDR119.000 ; IDR83.200 ; IDR35.800 ;DKI JAKARTA;INDONESIA;;01/09/22;Colored Lion;Jun-22;Village;;;
Twinkle44565Catherine;01/10/22;Colored Elephant;Animals;1; Manual; IDR119.000 ;0%; IDR119.000 ; IDR83.200 ; IDR35.800 ;DKI JAKARTA;INDONESIA;;01/10/22;Colored Elephant;Jun-22;Village;;;
Twinkle44565Catherine;01/10/22;Colored Giraffe;Animals;1; Manual; IDR119.000 ;0%; IDR119.000 ; IDR83.200 ; IDR35.800 ;DKI JAKARTA;INDONESIA;;01/10/22;Colored Giraffe;Jun-22;Fairy;;;
Twinkle44565Catherine;01/10/22;Colored Lion;Animals;1; Manual; IDR119.000 ;0%; IDR119.000 ; IDR83.200 ; IDR35.800 ;DKI JAKARTA;INDONESIA;;01/10/22;Colored Lion;Jun-22;Raya;;;
Millo;01/11/22;Binocular;Camping;1;Stockist; IDR319.000 ;25%; IDR239.250 ; IDR152.750 ; IDR86.500 ;BALI;INDONESIA;;01/11/22;Binocular;Jun-22;Solar System;;;
Twinkle44565Catherine;01/11/22;Colored Elephant;Animals;1; Manual; IDR119.000 ;0%; IDR119.000 ; IDR83.200 ; IDR35.800 ;DKI JAKARTA;INDONESIA;;01/11/22;Colored Elephant;Jun-22;Camping;;;
Twinkle44565Catherine;01/11/22;Colored Giraffe;Animals;1; Manual; IDR119.000 ;0%; IDR119.000 ; IDR83.200 ; IDR35.800 ;DKI JAKARTA;INDONESIA;;01/11/22;Colored Giraffe;Jun-22;Village;;;
Twinkle44565Catherine;01/11/22;Colored Lion;Animals;1; Manual; IDR119.000 ;0%; IDR119.000 ; IDR83.200 ; IDR35.800 ;DKI JAKARTA;INDONESIA;;01/11/22;Colored Lion;Jun-22;Solar System;;;
Millo;01/11/22;Compass;Camping;1;Stockist; IDR119.000 ;25%; IDR89.250 ; IDR83.200 ; IDR6.050 ;BALI;INDONESIA;;01/11/22;Compass;Jun-22;Solar System;;;
Millo;01/11/22;Flashlight;Camping;1;Stockist; IDR189.000 ;25%; IDR141.750 ; IDR85.800 ; IDR55.950 ;BALI;INDONESIA;;01/11/22;Flashlight;Jun-22;Newborn;;;
Millo;01/11/22;Flashlight;Camping;1;Stockist; IDR189.000 ;25%; IDR141.750 ; IDR85.800 ; IDR55.950 ;BALI;INDONESIA;;01/11/22;Flashlight;Jun-22;Birthday ;;;
Millo;01/11/22;Flashlight;Camping;1;Stockist; IDR189.000 ;25%; IDR141.750 ; IDR85.800 ; IDR55.950 ;BALI;INDONESIA;;01/11/22;Flashlight;Jun-22;Vehicles;;;
Millo;01/11/22;Flashlight;Camping;1;Stockist; IDR189.000 ;25%; IDR141.750 ; IDR85.800 ; IDR55.950 ;BALI;INDONESIA;;01/11/22;Flashlight;Jun-22;Vehicles;;;
Millo;01/11/22;Flashlight;Camping;1;Stockist; IDR189.000 ;25%; IDR141.750 ; IDR85.800 ; IDR55.950 ;BALI;INDONESIA;;01/11/22;Flashlight;Jun-22;Vehicles;;;
Millo;01/11/22;Lintasan Track Planet;Solar System;1;Stockist; IDR229.000 ;25%; IDR171.750 ; IDR107.900 ; IDR63.850 ;BALI;INDONESIA;;01/11/22;Lintasan Track Planet;Jun-22;Camping;;;
Millo;01/11/22;Milk Bottle;Newborn;1;Stockist; IDR119.000 ;25%; IDR89.250 ; IDR45.500 ; IDR43.750 ;BALI;INDONESIA;;01/11/22;Milk Bottle;Jun-22;Camping;;;
Millo;01/11/22;Planet + Fc;Solar System;1;Stockist; IDR289.000 ;25%; IDR216.750 ; IDR133.900 ; IDR82.850 ;BALI;INDONESIA;;01/11/22;Planet + Fc;Jul-22;Chef Collection;;;
Millo;01/11/22;Twinkle Milk Rattle;Newborn;1;Stockist; IDR129.000 ;25%; IDR96.750 ; IDR68.750 ; IDR28.000 ;BALI;INDONESIA;;01/11/22;Twinkle Milk Rattle;Jul-22;Chef Collection;;;
Millo;01/11/22;Twinkle Milk Rattle;Newborn;1;Stockist; IDR129.000 ;25%; IDR96.750 ; IDR68.750 ; IDR28.000 ;BALI;INDONESIA;;01/11/22;Twinkle Milk Rattle;Jul-22;Chef Collection;;;
Millo;01/11/22;Twinkle Rain Coat M;Camping;1;Stockist; IDR249.000 ;25%; IDR186.750 ; IDR108.550 ; IDR78.200 ;BALI;INDONESIA;;01/11/22;Twinkle Rain Coat M;Jul-22;Chef Collection;;;
Millo;01/11/22;Twinkle Rain Coat M;Camping;1;Stockist; IDR249.000 ;25%; IDR186.750 ; IDR108.550 ; IDR78.200 ;BALI;INDONESIA;;01/11/22;Twinkle Rain Coat M;Jul-22;Chef Collection;;;
Millo;01/11/22;Twinkle Wizard;Halloween;1;Stockist; IDR429.000 ;25%; IDR321.750 ; IDR145.600 ; IDR176.150 ;BALI;INDONESIA;;01/11/22;Twinkle Wizard;Jul-22;Chef Collection;;;
Millo;01/11/22;Walkie Talkie;Camping;1;Stockist; IDR99.000 ;25%; IDR74.250 ; IDR48.100 ; IDR26.150 ;BALI;INDONESIA;;01/11/22;Walkie Talkie;Jul-22;Chef Collection;;;
Millo;01/11/22;Walkie Talkie;Camping;1;Stockist; IDR99.000 ;25%; IDR74.250 ; IDR48.100 ; IDR26.150 ;BALI;INDONESIA;;01/11/22;Walkie Talkie;Jul-22;Chef Collection;;;
Millo;01/11/22;Walkie Talkie;Camping;1;Stockist; IDR99.000 ;25%; IDR74.250 ; IDR48.100 ; IDR26.150 ;BALI;INDONESIA;;01/11/22;Walkie Talkie;Jul-22;Chef Collection;;;
Twinkle44565Catherine;01/12/22;Colored Elephant;Animals;1; Manual; IDR119.000 ;0%; IDR119.000 ; IDR83.200 ; IDR35.800 ;DKI JAKARTA;INDONESIA;;01/12/22;Colored Elephant;Jul-22;Chef Collection;;;
Twinkle44565Catherine;01/12/22;Colored Giraffe;Animals;1; Manual; IDR119.000 ;0%; IDR119.000 ; IDR83.200 ; IDR35.800 ;DKI JAKARTA;INDONESIA;;01/12/22;Colored Giraffe;Jul-22;Chef Collection;;;
Twinkle44565Catherine;01/12/22;Colored Lion;Animals;1; Manual; IDR119.000 ;0%; IDR119.000 ; IDR83.200 ; IDR35.800 ;DKI JAKARTA;INDONESIA;;01/12/22;Colored Lion;Jul-22;Vehicles;;;
Twinkle44573Nofia;01/12/22;Magic Wand;Fairy;1; Marketplace; IDR149.000 ;0%; IDR149.000 ; IDR68.000 ; IDR81.000 ;DI YOGYAKARTA;INDONESIA;;01/12/22;Magic Wand;Jul-22;Vehicles;;;
Twinkle44573Nadia;01/12/22;Mini Tree E;Birthday;1; Giveaway; IDR79.000 ;0%; IDR79.000 ; IDR24.700 ; IDR54.300 ;DKI JAKARTA;INDONESIA;;01/12/22;Mini Tree E;Jul-22;Vehicles;;;
Twinkle44573Nadia;01/12/22;Tw Apron M;Chef;1; Marketplace; IDR219.000 ;0%; IDR219.000 ; IDR102.050 ; IDR116.950 ;JAWA BARAT;INDONESIA;;01/12/22;Tw Apron M;Jul-22;Vehicles;;;
Twinkle44573Anindya;01/12/22;Twinkle Baloon;Birthday;1; Marketplace; IDR129.000 ;0%; IDR129.000 ; IDR52.000 ; IDR77.000 ;BANTEN;INDONESIA;;01/12/22;Twinkle Baloon;Jul-22;Vehicles;;;
Twinkle44573Anne Rosenbarger;01/12/22;Twinkle Gasing Apple;Traditional;1; Marketplace; IDR99.000 ;0%; IDR99.000 ; IDR31.200 ; IDR67.800 ;DKI JAKARTA;INDONESIA;;01/12/22;Twinkle Gasing Apple;Jul-22;Vehicles;;;
Twinkle44573Anne Rosenbarger;01/12/22;Twinkle Gasing Cherry;Traditional;1; Marketplace; IDR99.000 ;0%; IDR99.000 ; IDR31.200 ; IDR67.800 ;BALI;INDONESIA;;01/12/22;Twinkle Gasing Cherry;Jul-22;Vehicles;;;
Twinkle44573Johanes;01/12/22;Twinkle Gasing Greentea;Traditional;1; Marketplace; IDR99.000 ;0%; IDR99.000 ; IDR31.200 ; IDR67.800 ;DKI JAKARTA;INDONESIA;;01/12/22;Twinkle Gasing Greentea;Jul-22;Vehicles;;;
Twinkle44573Melisa Zulkarnain;01/12/22;Twinkle Gasing Honeycomb;Traditional;1; Marketplace; IDR99.000 ;0%; IDR99.000 ; IDR31.200 ; IDR67.800 ;NANGGROE ACEH DARUSSALAM;INDONESIA;;01/12/22;Twinkle Gasing Honeycomb;Jul-22;Vehicles;;;
Twinkle44573Sherlie Dwi Hapsari;01/12/22;Wooden Broom Set Adult;Home Living;1; Marketplace; IDR449.000 ;0%; IDR449.000 ; IDR174.200 ; IDR274.800 ;JAWA TIMUR;INDONESIA;;01/12/22;Wooden Broom Set Adult;Jul-22;Vehicles;;;
Twinkle44573astrid sitohang;01/12/22;Wooden Broom Set Adult;Home Living;1; Marketplace; IDR449.000 ;0%; IDR449.000 ; IDR174.200 ; IDR274.800 ;DKI JAKARTA;INDONESIA;;01/12/22;Wooden Broom Set Adult;Jul-22;Vehicles;;;
Twinkle44573Marsha;01/12/22;Wooden Broom Set Child;Home Living;1; Marketplace; IDR379.000 ;0%; IDR379.000 ; IDR146.900 ; IDR232.100 ;DKI JAKARTA;INDONESIA;;01/12/22;Wooden Broom Set Child;Jul-22;Vehicles;;;
Twinkle44565Catherine;01/13/22;Colored Elephant;Animals;1; Manual; IDR119.000 ;0%; IDR119.000 ; IDR83.200 ; IDR35.800 ;DKI JAKARTA;INDONESIA;;01/13/22;Colored Elephant;Jul-22;Vehicles;;;
Twinkle44565Catherine;01/13/22;Colored Giraffe;Animals;1; Manual; IDR119.000 ;0%; IDR119.000 ; IDR83.200 ; IDR35.800 ;DKI JAKARTA;INDONESIA;;01/13/22;Colored Giraffe;Jul-22;Vehicles;;;
Twinkle44565Catherine;01/13/22;Colored Lion;Animals;1; Manual; IDR119.000 ;0%; IDR119.000 ; IDR83.200 ; IDR35.800 ;DKI JAKARTA;INDONESIA;;01/13/22;Colored Lion;Jul-22;Vehicles;;;
Twinkle44565Catherine;01/14/22;Colored Elephant;Animals;1; Manual; IDR119.000 ;0%; IDR119.000 ; IDR83.200 ; IDR35.800 ;DKI JAKARTA;INDONESIA;;01/14/22;Colored Elephant;Jul-22;Vehicles;;;
Twinkle44565Catherine;01/14/22;Colored Giraffe;Animals;1; Manual; IDR119.000 ;0%; IDR119.000 ; IDR83.200 ; IDR35.800 ;DKI JAKARTA;INDONESIA;;01/14/22;Colored Giraffe;Jul-22;Vehicles;;;
Twinkle44565Catherine;01/14/22;Colored Lion;Animals;1; Manual; IDR119.000 ;0%; IDR119.000 ; IDR83.200 ; IDR35.800 ;DKI JAKARTA;INDONESIA;;01/14/22;Colored Lion;Jul-22;Vehicles;;;
Twinkle44575Senvi Riksi;01/14/22;Twinkle Rain Coat L;Camping;1; Marketplace; IDR249.000 ;0%; IDR249.000 ; IDR108.550 ; IDR140.450 ;BANTEN;INDONESIA;;01/14/22;Twinkle Rain Coat L;Jul-22;Vehicles;;;
Twinkle44565Catherine;01/15/22;Colored Elephant;Animals;1; Manual; IDR119.000 ;0%; IDR119.000 ; IDR83.200 ; IDR35.800 ;DKI JAKARTA;INDONESIA;;01/15/22;Colored Elephant;Jul-22;Vehicles;;;
Twinkle44565Catherine;01/15/22;Colored Giraffe;Animals;1; Manual; IDR119.000 ;0%; IDR119.000 ; IDR83.200 ; IDR35.800 ;DKI JAKARTA;INDONESIA;;01/15/22;Colored Giraffe;Jul-22;Vehicles;;;
Twinkle44565Catherine;01/15/22;Colored Lion;Animals;1; Manual; IDR119.000 ;0%; IDR119.000 ; IDR83.200 ; IDR35.800 ;DKI JAKARTA;INDONESIA;;01/15/22;Colored Lion;Jul-22;Vehicles;;;
Twinkle44565Catherine;01/16/22;Colored Elephant;Animals;1; Manual; IDR119.000 ;0%; IDR119.000 ; IDR83.200 ; IDR35.800 ;DKI JAKARTA;INDONESIA;;01/16/22;Colored Elephant;Jul-22;Vehicles;;;
Twinkle44565Catherine;01/16/22;Colored Giraffe;Animals;1; Manual; IDR119.000 ;0%; IDR119.000 ; IDR83.200 ; IDR35.800 ;DKI JAKARTA;INDONESIA;;01/16/22;Colored Giraffe;Jul-22;Vehicles;;;
Twinkle44565Catherine;01/16/22;Colored Lion;Animals;1; Manual; IDR119.000 ;0%; IDR119.000 ; IDR83.200 ; IDR35.800 ;DKI JAKARTA;INDONESIA;;01/16/22;Colored Lion;Jul-22;Vehicles;;;
Twinkle44565Catherine;01/17/22;Colored Elephant;Animals;1; Manual; IDR119.000 ;0%; IDR119.000 ; IDR83.200 ; IDR35.800 ;DKI JAKARTA;INDONESIA;;01/17/22;Colored Elephant;Jul-22;Vehicles;;;
Twinkle44565Catherine;01/17/22;Colored Giraffe;Animals;1; Manual; IDR119.000 ;0%; IDR119.000 ; IDR83.200 ; IDR35.800 ;DKI JAKARTA;INDONESIA;;01/17/22;Colored Giraffe;Jul-22;Vehicles;;;
Twinkle44565Catherine;01/17/22;Colored Lion;Animals;1; Manual; IDR119.000 ;0%; IDR119.000 ; IDR83.200 ; IDR35.800 ;DKI JAKARTA;INDONESIA;;01/17/22;Colored Lion;Jul-22;Vehicles;;;
Twinkle44565Catherine;01/18/22;Colored Elephant;Animals;1; Manual; IDR119.000 ;0%; IDR119.000 ; IDR83.200 ; IDR35.800 ;DKI JAKARTA;INDONESIA;;01/18/22;Colored Elephant;Jul-22;Vehicles;;;
Twinkle44565Catherine;01/18/22;Colored Giraffe;Animals;1; Manual; IDR119.000 ;0%; IDR119.000 ; IDR83.200 ; IDR35.800 ;DKI JAKARTA;INDONESIA;;01/18/22;Colored Giraffe;Jul-22;Vehicles;;;
Twinkle44565Catherine;01/18/22;Colored Lion;Animals;1; Manual; IDR119.000 ;0%; IDR119.000 ; IDR83.200 ; IDR35.800 ;DKI JAKARTA;INDONESIA;;01/18/22;Colored Lion;Jul-22;Vehicles;;;
Twinkle44565Catherine;01/19/22;Colored Elephant;Animals;1; Manual; IDR119.000 ;0%; IDR119.000 ; IDR83.200 ; IDR35.800 ;DKI JAKARTA;INDONESIA;;01/19/22;Colored Elephant;Jul-22;Vehicles;;;
Twinkle44565Catherine;01/19/22;Colored Lion;Animals;1; Manual; IDR119.000 ;0%; IDR119.000 ; IDR83.200 ; IDR35.800 ;DKI JAKARTA;INDONESIA;;01/19/22;Colored Lion;Jul-22;Vehicles;;;
Twinkle44580Serina;01/19/22;Twinkle Gasing Apple;Traditional;1; Giveaway; IDR99.000 ;100%; IDR- ; IDR31.200 ; IDR(31.200);BALI;INDONESIA;;01/19/22;Twinkle Gasing Apple;Jul-22;Vehicles;;;
Twinkle44580Fathia;01/19/22;Twinkle Gasing Apple;Traditional;1; Giveaway; IDR99.000 ;100%; IDR- ; IDR31.200 ; IDR(31.200);DKI JAKARTA;INDONESIA;;01/19/22;Twinkle Gasing Apple;Jul-22;Vehicles;;;
Twinkle44580Gustin;01/19/22;Twinkle Gasing Cherry;Traditional;1; Giveaway; IDR99.000 ;100%; IDR- ; IDR31.200 ; IDR(31.200);BALI;INDONESIA;;01/19/22;Twinkle Gasing Cherry;Jul-22;Vehicles;;;
Twinkle44580Faney Syafira;01/19/22;Twinkle Gasing Greentea;Traditional;1; Giveaway; IDR99.000 ;100%; IDR- ; IDR31.200 ; IDR(31.200);JAWA BARAT;INDONESIA;;01/19/22;Twinkle Gasing Greentea;Jul-22;Vehicles;;;
Twinkle44580Andra;01/19/22;Twinkle Gasing Honeycomb;Traditional;1; Giveaway; IDR99.000 ;100%; IDR- ; IDR31.200 ; IDR(31.200);DKI JAKARTA;INDONESIA;;01/19/22;Twinkle Gasing Honeycomb;Jul-22;Vehicles;;;
Twinkle44565Catherine;01/20/22;Colored Elephant;Animals;1; Manual; IDR119.000 ;0%; IDR119.000 ; IDR83.200 ; IDR35.800 ;DKI JAKARTA;INDONESIA;;01/20/22;Colored Elephant;Jul-22;Vehicles;;;
Twinkle44582Kumulo;01/21/22;Autumn Forest;Forest;1; Stockist ; IDR449.000 ;15%; IDR381.650 ; IDR207.350 ; IDR174.300 ;DKI JAKARTA;INDONESIA;;01/21/22;Autumn Forest;Jul-22;Vehicles;;;
Twinkle44582Kumulo;01/21/22;Cabin;Sailing;1; Stockist ; IDR1.229.000 ;15%; IDR1.044.650 ; IDR458.250 ; IDR586.400 ;DKI JAKARTA;INDONESIA;;01/21/22;Cabin;Jul-22;Vehicles;;;
Twinkle44565Catherine;01/21/22;Colored Elephant;Animals;1; Manual; IDR119.000 ;0%; IDR119.000 ; IDR83.200 ; IDR35.800 ;DKI JAKARTA;INDONESIA;;01/21/22;Colored Elephant;Jul-22;Vehicles;;;
Twinkle44582Kumulo;01/21/22;Milkee Bear;Folks;1; Stockist ; IDR429.000 ;15%; IDR364.650 ; IDR152.750 ; IDR211.900 ;DKI JAKARTA;INDONESIA;;01/21/22;Milkee Bear;Jul-22;Vehicles;;;
Twinkle44582Kumulo;01/21/22;Mini Tree A;Birthday;1; Stockist ; IDR79.000 ;15%; IDR67.150 ; IDR24.700 ; IDR42.450 ;DKI JAKARTA;INDONESIA;;01/21/22;Mini Tree A;Jul-22;Vehicles;;;
Twinkle44582Kumulo;01/21/22;Mini Tree B;Birthday;1; Stockist ; IDR79.000 ;15%; IDR67.150 ; IDR24.700 ; IDR42.450 ;DKI JAKARTA;INDONESIA;;01/21/22;Mini Tree B;Jul-22;Vehicles;;;
Twinkle44582Kumulo;01/21/22;Mini Tree C;Birthday;1; Stockist ; IDR79.000 ;15%; IDR67.150 ; IDR24.700 ; IDR42.450 ;DKI JAKARTA;INDONESIA;;01/21/22;Mini Tree C;Jul-22;Vehicles;;;
Twinkle44582Kumulo;01/21/22;Mini Tree D;Birthday;1; Stockist ; IDR79.000 ;15%; IDR67.150 ; IDR24.700 ; IDR42.450 ;DKI JAKARTA;INDONESIA;;01/21/22;Mini Tree D;Jul-22;Vehicles;;;
